1: 0 1 2 3 4
2: 0 1 2 4 3
3: 0 1 3 2 4
4: 0 1 3 4 2
5: 0 1 4 2 3
6: 0 1 4 3 2
7: 0 2 1 3 4
8: 0 2 1 4 3
9: 0 2 3 1 4
10: 0 2 3 4 1
11: 0 2 4 1 3
12: 0 2 4 3 1
13: 0 3 1 2 4
14: 0 3 1 4 2
15: 0 3 2 1 4
16: 0 3 2 4 1
17: 0 3 4 1 2
18: 0 3 4 2 1
19: 0 4 1 2 3
20: 0 4 1 3 2
21: 0 4 2 1 3
22: 0 4 2 3 1
23: 0 4 3 1 2
24: 0 4 3 2 1
25: 1 0 2 3 4
26: 1 0 2 4 3
27: 1 0 3 2 4
28: 1 0 3 4 2
29: 1 0 4 2 3
30: 1 0 4 3 2
31: 1 2 0 3 4
32: 1 2 0 4 3
33: 1 2 3 0 4
34: 1 2 3 4 0
35: 1 2 4 0 3
36: 1 2 4 3 0
37: 1 3 0 2 4
38: 1 3 0 4 2
39: 1 3 2 0 4
40: 1 3 2 4 0
41: 1 3 4 0 2
42: 1 3 4 2 0
43: 1 4 0 2 3
44: 1 4 0 3 2
45: 1 4 2 0 3
46: 1 4 2 3 0
47: 1 4 3 0 2
48: 1 4 3 2 0
49: 2 0 1 3 4
50: 2 0 1 4 3
51: 2 0 3 1 4
52: 2 0 3 4 1
53: 2 0 4 1 3
54: 2 0 4 3 1
55: 2 1 0 3 4
56: 2 1 0 4 3
57: 2 1 3 0 4
58: 2 1 3 4 0
59: 2 1 4 0 3
60: 2 1 4 3 0
61: 2 3 0 1 4
62: 2 3 0 4 1
63: 2 3 1 0 4
64: 2 3 1 4 0
65: 2 3 4 0 1
66: 2 3 4 1 0
67: 2 4 0 1 3
68: 2 4 0 3 1
69: 2 4 1 0 3
70: 2 4 1 3 0
71: 2 4 3 0 1
72: 2 4 3 1 0
73: 3 0 1 2 4
74: 3 0 1 4 2
75: 3 0 2 1 4
76: 3 0 2 4 1
77: 3 0 4 1 2
78: 3 0 4 2 1
79: 3 1 0 2 4
80: 3 1 0 4 2
81: 3 1 2 0 4
82: 3 1 2 4 0
83: 3 1 4 0 2
84: 3 1 4 2 0
85: 3 2 0 1 4
86: 3 2 0 4 1
87: 3 2 1 0 4
88: 3 2 1 4 0
89: 3 2 4 0 1
90: 3 2 4 1 0
91: 3 4 0 1 2
92: 3 4 0 2 1
93: 3 4 1 0 2
94: 3 4 1 2 0
95: 3 4 2 0 1
96: 3 4 2 1 0
97: 4 0 1 2 3
98: 4 0 1 3 2
99: 4 0 2 1 3
100: 4 0 2 3 1
101: 4 0 3 1 2
102: 4 0 3 2 1
103: 4 1 0 2 3
104: 4 1 0 3 2
105: 4 1 2 0 3
106: 4 1 2 3 0
107: 4 1 3 0 2
108: 4 1 3 2 0
109: 4 2 0 1 3
110: 4 2 0 3 1
111: 4 2 1 0 3
112: 4 2 1 3 0
113: 4 2 3 0 1
114: 4 2 3 1 0
115: 4 3 0 1 2
116: 4 3 0 2 1
117: 4 3 1 0 2
118: 4 3 1 2 0
119: 4 3 2 0 1
120: 4 3 2 1 0
